"posting_date","currency_date","amount","category"
"19.02.2025","19.02.2025",-6.99,"Biezace"
"19.02.2025","19.02.2025",-50.48,"Biezace"
"19.02.2025","19.02.2025",-14.77,"Jedzenie"
"18.02.2025","18.02.2025",-82.81,"Podroze"
"17.02.2025","17.02.2025",-45,"Sport"
"17.02.2025","17.02.2025",-4.99,"Jedzenie"
"17.02.2025","17.02.2025",300,"Przychody"
"17.02.2025","16.02.2025",-4.99,"Jedzenie"
"14.02.2025","14.02.2025",-6.68,"Kosmetyki"
"14.02.2025","14.02.2025",-47.6,"Jedzenie"
"13.02.2025","13.02.2025",-15.9,"Jedzenie"
"12.02.2025","12.02.2025",-34.79,"Biezace"
"12.02.2025","12.02.2025",-28,"Sport"
"12.02.2025","12.02.2025",-1.99,"Jedzenie"
"12.02.2025","12.02.2025",-5,"Gotowe jedzenie"
"12.02.2025","12.02.2025",-20,"Transport publiczny"
"12.02.2025","12.02.2025",-10.95,"Jedzenie"
"11.02.2025","11.02.2025",-57.74,"Ubrania"
"10.02.2025","10.02.2025",-14.99,"Biezace"
"08.02.2025","08.02.2025",-10.2,"Transport publiczny"
"07.02.2025","07.02.2025",-82.81,"Podroze"
"06.02.2025","06.02.2025",-119.99,"Sport"
"06.02.2025","06.02.2025",-100,"Podroze"
"06.02.2025","06.02.2025",-25.21,"Jedzenie"
"06.02.2025","06.02.2025",-6.98,"Biezace"
"06.02.2025","06.02.2025",-15.46,"Jedzenie"
"06.02.2025","06.02.2025",-3.99,"Jedzenie"
"05.02.2025","05.02.2025",-10.2,"Transport publiczny"
"05.02.2025","05.02.2025",-2.7,"Jedzenie"
"05.02.2025","05.02.2025",-9.5,"Jedzenie"
"04.02.2025","04.02.2025",-80,"Biezace"
"03.02.2025","03.02.2025",-66,"Biezace"
"03.02.2025","03.02.2025",-11.99,"Gotowe jedzenie"
"03.02.2025","03.02.2025",-48.58,"Jedzenie"
"03.02.2025","03.02.2025",-3.95,"Jedzenie"
"03.02.2025","03.02.2025",1500,"Przychody"
"03.02.2025","02.02.2025",-20,"Jedzenie"
"03.02.2025","02.02.2025",-3.99,"Jedzenie"
"01.02.2025","01.02.2025",-20.37,"Jedzenie"
"01.02.2025","01.02.2025",-7.9,"Jedzenie"
"01.02.2025","01.02.2025",-7,"Jedzenie"
"31.01.2025","31.01.2025",-9.87,"Jedzenie"
"31.01.2025","31.01.2025",-5.49,"Jedzenie"
"31.01.2025","31.01.2025",-5,"Gotowe jedzenie"
"30.01.2025","30.01.2025",-9.6,"Jedzenie"
"30.01.2025","30.01.2025",-5.1,"Jedzenie"
"30.01.2025","30.01.2025",-17.52,"Jedzenie"
"29.01.2025","29.01.2025",-3.89,"Jedzenie"
"29.01.2025","29.01.2025",-1.99,"Jedzenie"
"28.01.2025","28.01.2025",-2.4,"Jedzenie"
"27.01.2025","27.01.2025",-2.5,"Gotowe jedzenie"
"27.01.2025","26.01.2025",-5,"Biezace"
"27.01.2025","26.01.2025",-14.42,"Jedzenie"
"27.01.2025","27.01.2025",-3.5,"Jedzenie"
"27.01.2025","26.01.2025",-5,"Biezace"
"27.01.2025","27.01.2025",-11.99,"Gotowe jedzenie"
"27.01.2025","26.01.2025",-8.39,"Jedzenie"
"27.01.2025","27.01.2025",-2.4,"Jedzenie"
"27.01.2025","27.01.2025",-24.45,"Jedzenie"
"27.01.2025","25.01.2025",-1.8,"Jedzenie"
"25.01.2025","25.01.2025",-5.2,"Transport publiczny"
"25.01.2025","25.01.2025",35,"Podroze"
"25.01.2025","25.01.2025",-13,"Biezace"
"25.01.2025","24.01.2025",-1.7,"Transport publiczny"
"24.01.2025","24.01.2025",-26.86,"Jedzenie"
"24.01.2025","24.01.2025",-9.6,"Jedzenie"
"24.01.2025","24.01.2025",-4.9,"Biezace"
"23.01.2025","23.01.2025",-7.98,"Jedzenie"
"23.01.2025","23.01.2025",-50,"Jedzenie"
"23.01.2025","23.01.2025",-17.25,"Gotowe jedzenie"
"23.01.2025","23.01.2025",-1.8,"Jedzenie"
"23.01.2025","22.01.2025",-400,"Podroze"
"22.01.2025","22.01.2025",-27,"Jedzenie"
"22.01.2025","22.01.2025",-9,"Jedzenie"
"21.01.2025","21.01.2025",-20.01,"Jedzenie"
"21.01.2025","21.01.2025",-1.19,"Jedzenie"
"21.01.2025","21.01.2025",-14.37,"Jedzenie"
"20.01.2025","20.01.2025",12,"Jedzenie"
"20.01.2025","20.01.2025",8.38,"Jedzenie"
"20.01.2025","20.01.2025",-11.99,"Gotowe jedzenie"
"20.01.2025","20.01.2025",-11.99,"Gotowe jedzenie"
"20.01.2025","20.01.2025",-22.5,"Prezenty"
"20.01.2025","19.01.2025",-50,"Prezenty"
"20.01.2025","19.01.2025",-16,"Prezenty"
"18.01.2025","18.01.2025",-13.21,"Jedzenie"
"17.01.2025","17.01.2025",-2.29,"Jedzenie"
"17.01.2025","17.01.2025",-34.77,"Jedzenie"
"16.01.2025","16.01.2025",-2.5,"Gotowe jedzenie"
"16.01.2025","16.01.2025",-1.79,"Jedzenie"
"16.01.2025","16.01.2025",-200,"Podroze"
"16.01.2025","16.01.2025",-9.6,"Jedzenie"
"16.01.2025","16.01.2025",-24.98,"Kosmetyki"
"16.01.2025","15.01.2025",-17,"Jedzenie"
"15.01.2025","15.01.2025",-2.5,"Gotowe jedzenie"
"15.01.2025","15.01.2025",-11.9,"Jedzenie"
"15.01.2025","15.01.2025",131.4,"Podroze"
"15.01.2025","15.01.2025",-40.68,"Jedzenie"
"13.01.2025","13.01.2025",-8.87,"Jedzenie"
"13.01.2025","13.01.2025",-11.99,"Gotowe jedzenie"
"13.01.2025","13.01.2025",-4.88,"Jedzenie"
"13.01.2025","12.01.2025",-3.79,"Jedzenie"
"11.01.2025","10.01.2025",-3.14,"Jedzenie"
"11.01.2025","10.01.2025",-16.6,"Jedzenie"
"10.01.2025","09.01.2025",-20,"Jedzenie"
"10.01.2025","10.01.2025",-21,"Gotowe jedzenie"
"10.01.2025","10.01.2025",-16.99,"Sport"
"10.01.2025","10.01.2025",-14.99,"Biezace"
"08.01.2025","08.01.2025",-2.5,"Gotowe jedzenie"
"08.01.2025","08.01.2025",-1.8,"Jedzenie"
"08.01.2025","08.01.2025",-24,"Prezenty"
"08.01.2025","08.01.2025",-19.6,"Jedzenie"
"07.01.2025","07.01.2025",-18.98,"Kosmetyki"
"07.01.2025","07.01.2025",-65.91,"Jedzenie"
"06.01.2025","06.01.2025",-11,"Jedzenie"
"04.01.2025","04.01.2025",-15.26,"Jedzenie"
"04.01.2025","04.01.2025",-7.11,"Jedzenie"
"03.01.2025","03.01.2025",-28,"Gotowe jedzenie"
"03.01.2025","03.01.2025",-5.8,"Jedzenie"
"03.01.2025","03.01.2025",-14.14,"Jedzenie"
"03.01.2025","03.01.2025",-349.9,"Sport"
"03.01.2025","03.01.2025",-140,"Transport publiczny"
"03.01.2025","03.01.2025",-25.99,"Jedzenie"
"02.01.2025","02.01.2025",-4.99,"Kosmetyki"
"02.01.2025","02.01.2025",-3,"Jedzenie"
"01.01.2025","01.01.2025",2550,"Przychody"
"27.12.2024","27.12.2024",-28.99,"Sport"
"27.12.2024","27.12.2024",-43.07,"Jedzenie"
"27.12.2024","27.12.2024",-11.75,"Jedzenie"
"23.12.2024","23.12.2024",-44.5,"Gotowe jedzenie"
"21.12.2024","21.12.2024",58.74,"Podroze"
"20.12.2024","20.12.2024",-32.27,"Jedzenie"
"20.12.2024","20.12.2024",-5.78,"Jedzenie"
"20.12.2024","20.12.2024",160,"Podroze"
"19.12.2024","19.12.2024",-5.48,"Jedzenie"
"19.12.2024","19.12.2024",-3,"Gotowe jedzenie"
"19.12.2024","19.12.2024",-28,"Gotowe jedzenie"
"19.12.2024","19.12.2024",-300,"Podroze"
"19.12.2024","19.12.2024",-6.63,"Jedzenie"
"17.12.2024","17.12.2024",-10.16,"Jedzenie"
"17.12.2024","17.12.2024",-160,"Podroze"
"17.12.2024","17.12.2024",-3,"Gotowe jedzenie"
"17.12.2024","16.12.2024",-46,"Prezenty"
"16.12.2024","16.12.2024",-12.43,"Jedzenie"
"16.12.2024","16.12.2024",-3,"Jedzenie"
"16.12.2024","16.12.2024",-2.5,"Gotowe jedzenie"
"14.12.2024","13.12.2024",-1.19,"Jedzenie"
"14.12.2024","13.12.2024",200,"Podroze"
"13.12.2024","13.12.2024",-800,"Podroze"
"13.12.2024","13.12.2024",-2.9,"Jedzenie"
"13.12.2024","13.12.2024",-9.15,"Jedzenie"
"13.12.2024","13.12.2024",800,"Podroze"
"13.12.2024","13.12.2024",-6.98,"Kosmetyki"
"12.12.2024","12.12.2024",-2.5,"Gotowe jedzenie"
"12.12.2024","12.12.2024",-200,"Podroze"
"12.12.2024","12.12.2024",-14.5,"Gotowe jedzenie"
"12.12.2024","12.12.2024",-28,"Gotowe jedzenie"
"12.12.2024","12.12.2024",-2.5,"Gotowe jedzenie"
"11.12.2024","11.12.2024",-9,"Jedzenie"
"11.12.2024","11.12.2024",-2.5,"Gotowe jedzenie"
"11.12.2024","10.12.2024",-200,"Podroze"
"11.12.2024","10.12.2024",-5.15,"Podroze"
"11.12.2024","10.12.2024",-3.75,"Gotowe jedzenie"
"11.12.2024","10.12.2024",-32,"Jedzenie"
"10.12.2024","10.12.2024",-25.98,"Jedzenie"
"10.12.2024","10.12.2024",-3,"Jedzenie"
"10.12.2024","10.12.2024",-5.51,"Jedzenie"
"10.12.2024","10.12.2024",-14.99,"Biezace"
"09.12.2024","09.12.2024",-9.75,"Jedzenie"
"09.12.2024","09.12.2024",-3,"Jedzenie"
"09.12.2024","09.12.2024",-2.5,"Gotowe jedzenie"
"07.12.2024","07.12.2024",-12.99,"Jedzenie"
"07.12.2024","07.12.2024",-11.61,"Jedzenie"
"07.12.2024","07.12.2024",-52.49,"Ubrania"
"07.12.2024","07.12.2024",-113.99,"Sport"
"06.12.2024","06.12.2024",-4.99,"Jedzenie"
"06.12.2024","06.12.2024",-24.99,"Prezenty"
"05.12.2024","05.12.2024",-3,"Gotowe jedzenie"
"05.12.2024","05.12.2024",-13.24,"Jedzenie"
"04.12.2024","04.12.2024",-18.76,"Jedzenie"
"04.12.2024","04.12.2024",-3,"Jedzenie"
"04.12.2024","04.12.2024",36.58,"Podroze"
"04.12.2024","03.12.2024",-26,"Biezace"
"03.12.2024","03.12.2024",-12.01,"Jedzenie"
"03.12.2024","03.12.2024",-28,"Sport"
"03.12.2024","03.12.2024",-2.9,"Jedzenie"
"03.12.2024","02.12.2024",40.39,"Podroze"
"03.12.2024","02.12.2024",-270,"Podroze"
"02.12.2024","02.12.2024",1700,"Przychody"
"02.12.2024","02.12.2024",-2.5,"Gotowe jedzenie"
"02.12.2024","02.12.2024",-5.6,"Jedzenie"
"02.12.2024","02.12.2024",-2.79,"Jedzenie"
"30.11.2024","29.11.2024",-5.49,"Jedzenie"
"30.11.2024","29.11.2024",-24.36,"Jedzenie"
"29.11.2024","29.11.2024",-9.99,"Zdrowie"
"28.11.2024","28.11.2024",-18.96,"Jedzenie"
"28.11.2024","28.11.2024",-11.9,"Jedzenie"
"27.11.2024","27.11.2024",-26,"Zdrowie"
"27.11.2024","27.11.2024",26,"Biezace"
"26.11.2024","26.11.2024",-7.06,"Jedzenie"
"26.11.2024","26.11.2024",-2.9,"Jedzenie"
"26.11.2024","26.11.2024",-19.17,"Kosmetyki"
"26.11.2024","25.11.2024",-3.99,"Jedzenie"
"25.11.2024","25.11.2024",-5.87,"Jedzenie"
"22.11.2024","22.11.2024",-0.96,"Jedzenie"
"21.11.2024","21.11.2024",-13.27,"Jedzenie"
"21.11.2024","21.11.2024",-5.6,"Jedzenie"
"21.11.2024","20.11.2024",-6.19,"Jedzenie"
"20.11.2024","20.11.2024",-4,"Jedzenie"
"19.11.2024","19.11.2024",-3,"Jedzenie"
"19.11.2024","19.11.2024",-23.03,"Podroze"
"19.11.2024","19.11.2024",-25,"Gotowe jedzenie"
"18.11.2024","18.11.2024",-1.29,"Jedzenie"
"18.11.2024","18.11.2024",-14.07,"Jedzenie"
"18.11.2024","18.11.2024",-300,"Podroze"
"15.11.2024","15.11.2024",-12.96,"Jedzenie"
"15.11.2024","15.11.2024",-0.99,"Jedzenie"
"14.11.2024","13.11.2024",-19.55,"Jedzenie"
"14.11.2024","14.11.2024",-8.47,"Jedzenie"
"14.11.2024","14.11.2024",-1.99,"Jedzenie"
"14.11.2024","14.11.2024",-3,"Gotowe jedzenie"
"13.11.2024","13.11.2024",-4,"Jedzenie"
"13.11.2024","13.11.2024",-2.5,"Gotowe jedzenie"
"12.11.2024","12.11.2024",-14.08,"Jedzenie"
"12.11.2024","11.11.2024",-400,"Podroze"
"11.11.2024","11.11.2024",-583.2,"Podroze"
"11.11.2024","11.11.2024",-2.2,"Jedzenie"
"11.11.2024","11.11.2024",-27,"Gotowe jedzenie"
"11.11.2024","11.11.2024",-10,"Jedzenie"
"11.11.2024","10.11.2024",-14.99,"Biezace"
"09.11.2024","09.11.2024",-42.61,"Jedzenie"
"09.11.2024","08.11.2024",-42,"Biezace"
"08.11.2024","08.11.2024",-17.03,"Jedzenie"
"08.11.2024","08.11.2024",-139.99,"Ubrania"
"08.11.2024","08.11.2024",-3.4,"Transport publiczny"
"08.11.2024","08.11.2024",-424.14,"Jedzenie"
"08.11.2024","08.11.2024",1100,"Podroze"
"07.11.2024","07.11.2024",-39,"Gotowe jedzenie"
"07.11.2024","07.11.2024",-2.5,"Gotowe jedzenie"
"06.11.2024","06.11.2024",-2.7,"Jedzenie"
"05.11.2024","05.11.2024",-200,"Podroze"
"05.11.2024","05.11.2024",-28,"Gotowe jedzenie"
"04.11.2024","04.11.2024",-12.27,"Jedzenie"
"04.11.2024","04.11.2024",-2.65,"Jedzenie"
"04.11.2024","03.11.2024",1500,"Przychody"
"31.10.2024","31.10.2024",-3.29,"Jedzenie"
"31.10.2024","30.10.2024",-1.54,"Jedzenie"
"30.10.2024","30.10.2024",-5.6,"Jedzenie"
"30.10.2024","30.10.2024",-1.38,"Jedzenie"
"29.10.2024","29.10.2024",-3.49,"Jedzenie"
"29.10.2024","29.10.2024",-0.99,"Jedzenie"
"29.10.2024","29.10.2024",-20.15,"Jedzenie"
"28.10.2024","28.10.2024",-8.27,"Jedzenie"
"28.10.2024","28.10.2024",-5.1,"Jedzenie"
"28.10.2024","27.10.2024",-20,"Podroze"
"26.10.2024","26.10.2024",-13.14,"Jedzenie"
"26.10.2024","26.10.2024",-3.98,"Jedzenie"
"26.10.2024","25.10.2024",-21.31,"Jedzenie"
"25.10.2024","25.10.2024",-9.65,"Podroze"
"25.10.2024","25.10.2024",-24.94,"Jedzenie"
"24.10.2024","24.10.2024",-2.2,"Jedzenie"
"23.10.2024","23.10.2024",-7.68,"Jedzenie"
"23.10.2024","23.10.2024",-3,"Gotowe jedzenie"
"23.10.2024","23.10.2024",-2.15,"Jedzenie"
"22.10.2024","22.10.2024",-2.99,"Jedzenie"
"22.10.2024","22.10.2024",-2.8,"Jedzenie"
"21.10.2024","21.10.2024",-1.69,"Jedzenie"
"21.10.2024","21.10.2024",-1.3,"Jedzenie"
"21.10.2024","20.10.2024",-15,"Kino i teatr"
"21.10.2024","19.10.2024",-9.49,"Jedzenie"
"19.10.2024","19.10.2024",-20,"Biezace"
"18.10.2024","18.10.2024",-2.79,"Jedzenie"
"18.10.2024","18.10.2024",-4.95,"Jedzenie"
"18.10.2024","17.10.2024",8,"Jedzenie"
"17.10.2024","17.10.2024",-50,"Jedzenie"
"17.10.2024","17.10.2024",-2.15,"Jedzenie"
"17.10.2024","17.10.2024",-5,"Gotowe jedzenie"
"17.10.2024","17.10.2024",-50,"Jedzenie"
"15.10.2024","15.10.2024",-0.69,"Jedzenie"
"15.10.2024","15.10.2024",-7.67,"Jedzenie"
"15.10.2024","15.10.2024",-3.98,"Jedzenie"
"14.10.2024","14.10.2024",-12.64,"Jedzenie"
"14.10.2024","14.10.2024",-2.5,"Gotowe jedzenie"
"14.10.2024","14.10.2024",-21.97,"Kosmetyki"
"14.10.2024","12.10.2024",-2.79,"Jedzenie"
"14.10.2024","12.10.2024",-2.07,"Jedzenie"
"12.10.2024","12.10.2024",-5.92,"Jedzenie"
"12.10.2024","12.10.2024",-6.66,"Podroze"
"12.10.2024","12.10.2024",-2.57,"Jedzenie"
"11.10.2024","11.10.2024",17,"Biezace"
"11.10.2024","11.10.2024",-6,"Biezace"
"11.10.2024","11.10.2024",-10.81,"Jedzenie"
"11.10.2024","10.10.2024",17,"Biezace"
"11.10.2024","10.10.2024",-68.89,"Jedzenie"
"10.10.2024","10.10.2024",-14.99,"Biezace"
"10.10.2024","09.10.2024",-77.66,"Biezace"
"10.10.2024","09.10.2024",19.95,"Jedzenie"
"10.10.2024","09.10.2024",-30,"Biezace"
"09.10.2024","09.10.2024",-7.77,"Jedzenie"
"09.10.2024","09.10.2024",-4,"Gotowe jedzenie"
"09.10.2024","09.10.2024",-1.95,"Jedzenie"
"09.10.2024","09.10.2024",-27.6,"Jedzenie"
"08.10.2024","08.10.2024",-26.13,"Jedzenie"
"07.10.2024","07.10.2024",-1.25,"Jedzenie"
"07.10.2024","07.10.2024",-0.58,"Biezace"
"07.10.2024","07.10.2024",10,"Podroze"
"07.10.2024","07.10.2024",-17.35,"Podroze"
"07.10.2024","07.10.2024",-22.14,"Jedzenie"
"07.10.2024","07.10.2024",-5.2,"Transport publiczny"
"07.10.2024","07.10.2024",-5.2,"Transport publiczny"
"07.10.2024","05.10.2024",-25,"Kino i teatr"
"05.10.2024","05.10.2024",-140,"Transport publiczny"
"05.10.2024","05.10.2024",30,"Jedzenie"
"05.10.2024","05.10.2024",-67.11,"Jedzenie"
"04.10.2024","04.10.2024",-8.35,"Jedzenie"
"04.10.2024","04.10.2024",-5.26,"Jedzenie"
"04.10.2024","04.10.2024",-80.75,"Zdrowie"
"04.10.2024","03.10.2024",-5.98,"Jedzenie"
"02.10.2024","02.10.2024",-23.66,"Jedzenie"
"02.10.2024","02.10.2024",1500,"Przychody"
"02.10.2024","01.10.2024",-1.25,"Jedzenie"
"02.10.2024","01.10.2024",-25.09,"Jedzenie"
"01.10.2024","01.10.2024",-20,"Transport publiczny"
"01.10.2024","01.10.2024",-10.9,"Jedzenie"
