"date","datePosted","amount","category"
2024-08-30,2024-09-01,-2380,"Gotowe jedzenie"
2024-08-30,2024-09-01,-1500,"Inne"
2024-09-02,2024-09-02,8000,"Zwrot pieniędzy"
2024-09-02,2024-09-04,-200,"Komunikacja miejska"
2024-09-02,2024-09-04,-200,"Komunikacja miejska"
2024-09-02,2024-09-04,-10000,"Inne"
2024-09-03,2024-09-03,-3339,"Pociągi"
2024-09-03,2024-09-03,-2838,"Pociągi"
2024-09-03,2024-09-05,-3200,"Inne"
2024-09-03,2024-09-05,-1500,"Inne"
2024-09-03,2024-09-06,-1500,"Inne"
2024-09-09,2024-09-11,-1900,"Inne"
2024-09-10,2024-09-10,-3339,"Pociągi"
2024-09-14,2024-09-16,-200,"Komunikacja miejska"
2024-09-15,2024-09-17,-200,"Komunikacja miejska"
2024-09-16,2024-09-18,-220,"Komunikacja miejska"
2024-09-16,2024-09-18,-600,"Inne"
2024-09-19,2024-09-21,-1700,"Inne"
2024-09-20,2024-09-20,1250,"Zwrot pieniędzy"
2024-09-20,2024-09-20,-600,"Zwrot pieniędzy"
2024-09-20,2024-09-22,-2500,"Inne"
2024-09-22,2024-09-22,-7000,"Pociągi"
2024-09-22,2024-09-22,-3339,"Pociągi"
2024-09-22,2024-09-24,-1798,"Inne"
2024-09-22,2024-09-24,-690,"Inne"
2024-09-25,2024-09-27,-200,"Komunikacja miejska"
2024-09-25,2024-09-27,-200,"Komunikacja miejska"
2024-09-25,2024-09-27,-1775,"Inne"
2024-09-26,2024-09-26,2100,"Zwrot pieniędzy"
2024-09-26,2024-09-28,-2575,"Inne"
2024-09-26,2024-09-28,-200,"Komunikacja miejska"
2024-09-26,2024-09-28,-200,"Komunikacja miejska"
2024-09-26,2024-09-28,-4400,"Inne"
2024-09-29,2024-10-01,-220,"Komunikacja miejska"
2024-09-30,2024-10-02,-750,"Inne"
2024-09-30,2024-10-02,-15585,"Inne"
2024-09-30,2024-10-02,-23997,"Inne"
2024-10-01,2024-10-01,2400,"Zwrot pieniędzy"
2024-10-01,2024-10-03,-2125,"Gotowe jedzenie"
2024-10-02,2024-10-04,-699,"Jedzenie i środki czystości"
2024-10-02,2024-10-04,-3229,"Jedzenie i środki czystości"
2024-10-02,2024-10-04,-4935,"Jedzenie i środki czystości"
2024-10-02,2024-10-04,-400,"Gotowe jedzenie"
2024-10-03,2024-10-05,-613,"Inne"
2024-10-03,2024-10-05,-930,"Gotowe jedzenie"
2024-10-04,2024-10-04,10000,"Wypłata gotówki"
2024-10-04,2024-10-04,-100,"Wypłata gotówki"
2024-10-04,2024-10-04,1000,"Zwrot pieniędzy"
2024-10-04,2024-10-04,-2597,"Pociągi"
2024-10-04,2024-10-06,-1800,"Jedzenie i środki czystości"
2024-10-05,2024-10-05,-2597,"Pociągi"
2024-10-05,2024-10-07,-170,"Inne"
2024-10-06,2024-10-08,-200,"Komunikacja miejska"
2024-10-06,2024-10-08,-220,"Komunikacja miejska"
2024-10-07,2024-10-07,30000,"Wypłata gotówki"
2024-10-07,2024-10-07,-180,"Wypłata gotówki"
2024-10-07,2024-10-09,-5853,"Jedzenie i środki czystości"
2024-10-07,2024-10-09,-700,"Gotowe jedzenie"
2024-10-08,2024-10-10,-170,"Inne"
2024-10-09,2024-10-09,1000,"Zwrot pieniędzy"
2024-10-10,2024-10-12,-3000,"Gotowe jedzenie"
2024-10-11,2024-10-11,-2597,"Pociągi"
2024-10-11,2024-10-11,-2597,"Pociągi"
2024-10-12,2024-10-12,-170,"Komunikacja miejska"
2024-10-12,2024-10-12,-220,"Komunikacja miejska"
2024-10-12,2024-10-14,-1650,"Gotowe jedzenie"
2024-10-13,2024-10-13,-170,"Komunikacja miejska"
2024-10-14,2024-10-16,-9416,"Jedzenie i środki czystości"
2024-10-14,2024-10-16,-2018,"Jedzenie i środki czystości"
2024-10-17,2024-10-19,-2005,"Gotowe jedzenie"
2024-10-18,2024-10-18,-170,"Komunikacja miejska"
2024-10-18,2024-10-20,-930,"Gotowe jedzenie"
2024-10-19,2024-10-19,60000,"Wypłata gotówki"
2024-10-19,2024-10-19,-360,"Wypłata gotówki"
2024-10-19,2024-10-21,-15187,"Jedzenie i środki czystości"
2024-10-21,2024-10-21,60000,"Wypłata gotówki"
2024-10-21,2024-10-21,-360,"Wypłata gotówki"
2024-10-21,2024-10-23,-2249,"Jedzenie i środki czystości"
2024-10-21,2024-10-23,-9194,"Jedzenie i środki czystości"
2024-10-23,2024-10-25,-400,"Gotowe jedzenie"
2024-10-24,2024-10-24,-2597,"Pociągi"
2024-10-25,2024-10-25,-170,"Komunikacja miejska"
2024-10-26,2024-10-26,-2597,"Pociągi"
2024-10-27,2024-10-27,-170,"Komunikacja miejska"
2024-10-28,2024-10-30,-1820,"Gotowe jedzenie"
2024-10-28,2024-10-30,-3953,"Jedzenie i środki czystości"
2024-10-28,2024-10-30,-8595,"Jedzenie i środki czystości"
2024-10-29,2024-10-29,-170,"Komunikacja miejska"
2024-10-30,2024-10-30,-170,"Komunikacja miejska"
2024-10-30,2024-10-30,-170,"Komunikacja miejska"
2024-10-30,2024-10-30,-2597,"Pociągi"
2024-10-30,2024-10-30,-2597,"Pociągi"
2024-10-30,2024-11-01,-2000,"Inne"
2024-10-30,2024-11-01,-1900,"Gotowe jedzenie"
2024-10-30,2024-11-01,-1317,"Jedzenie i środki czystości"
2024-10-31,2024-10-31,-170,"Komunikacja miejska"
2024-10-31,2024-10-31,-2597,"Pociągi"
2024-10-31,2024-10-31,-170,"Komunikacja miejska"
2024-10-31,2024-11-02,-129,"Jedzenie i środki czystości"
2024-11-01,2024-11-01,-170,"Komunikacja miejska"
2024-11-03,2024-11-03,-170,"Komunikacja miejska"
2024-11-04,2024-11-06,-2368,"Jedzenie i środki czystości"
2024-11-04,2024-11-06,-5258,"Jedzenie i środki czystości"
2024-11-05,2024-11-05,-170,"Komunikacja miejska"
2024-11-05,2024-11-07,-1020,"Gotowe jedzenie"
2024-11-08,2024-11-08,100000,"Politechnika"
2024-11-08,2024-11-10,-8250,"Inne"
2024-11-08,2024-11-10,-2996,"Jedzenie i środki czystości"
2024-11-09,2024-11-09,-4793,"Pociągi"
2024-11-09,2024-11-09,-170,"Komunikacja miejska"
2024-11-10,2024-11-12,-200,"Komunikacja miejska"
2024-11-11,2024-11-11,-170,"Komunikacja miejska"
2024-11-12,2024-11-14,-570,"Inne"
2024-11-14,2024-11-14,-84,"Inne"
2024-11-14,2024-11-14,-340,"Komunikacja miejska"
2024-11-15,2024-11-17,-2673,"Jedzenie i środki czystości"
2024-11-15,2024-11-17,-5273,"Jedzenie i środki czystości"
2024-11-16,2024-11-16,-480,"Zwrot pieniędzy"
2024-11-16,2024-11-18,-972,"Jedzenie i środki czystości"
2024-11-18,2024-11-18,-10949,"Elektronika"
2024-11-18,2024-11-20,-930,"Gotowe jedzenie"
2024-11-18,2024-11-20,-2254,"Jedzenie i środki czystości"
2024-11-18,2024-11-20,-8787,"Jedzenie i środki czystości"
2024-11-20,2024-11-22,-1530,"Gotowe jedzenie"
2024-11-20,2024-11-22,-400,"Gotowe jedzenie"
2024-11-22,2024-11-24,-1650,"Gotowe jedzenie"
2024-11-22,2024-11-24,-2427,"Jedzenie i środki czystości"
2024-11-22,2024-11-24,-4084,"Jedzenie i środki czystości"
2024-11-24,2024-11-24,-400,"Pranie"
2024-11-25,2024-11-27,-1281,"Jedzenie i środki czystości"
2024-11-26,2024-11-26,-170,"Komunikacja miejska"
2024-11-26,2024-11-28,-1540,"Gotowe jedzenie"
2024-11-26,2024-11-28,-904,"Jedzenie i środki czystości"
2024-11-29,2024-11-29,-1000,"Zwrot pieniędzy"
2024-11-29,2024-11-29,-686,"Pociągi"
2024-11-30,2024-11-30,-170,"Komunikacja miejska"
2024-11-30,2024-11-30,100000,"Zwrot pieniędzy"
2024-12-01,2024-12-01,-2597,"Pociągi"
2024-12-01,2024-12-01,50000,"Zwrot pieniędzy"
2024-12-01,2024-12-01,-170,"Komunikacja miejska"
2024-12-01,2024-12-03,-200,"Komunikacja miejska"
2024-12-02,2024-12-04,-2667,"Jedzenie i środki czystości"
2024-12-02,2024-12-04,-399,"Jedzenie i środki czystości"
2024-12-02,2024-12-04,-6913,"Jedzenie i środki czystości"
2024-12-03,2024-12-05,-3788,"Jedzenie i środki czystości"
2024-12-04,2024-12-04,100000,"Politechnika"
2024-12-05,2024-12-07,-1390,"Gotowe jedzenie"
2024-12-05,2024-12-07,-2500,"Gotowe jedzenie"
2024-12-06,2024-12-06,255000,"Politechnika"
2024-12-06,2024-12-08,-1090,"Gotowe jedzenie"
2024-12-07,2024-12-09,-2165,"Jedzenie i środki czystości"
2024-12-07,2024-12-09,-5857,"Jedzenie i środki czystości"
2024-12-08,2024-12-08,-557,"Pranie"
2024-12-08,2024-12-08,-400,"Pranie"
2024-12-10,2024-12-12,-1800,"Gotowe jedzenie"
2024-12-11,2024-12-13,-2318,"Jedzenie i środki czystości"
2024-12-11,2024-12-13,-4098,"Jedzenie i środki czystości"
2024-12-11,2024-12-13,-6677,"Jedzenie i środki czystości"
2024-12-12,2024-12-14,-2070,"Jedzenie i środki czystości"
2024-12-13,2024-12-15,-1350,"Jedzenie i środki czystości"
2024-12-13,2024-12-15,-7546,"Jedzenie i środki czystości"
2024-12-14,2024-12-14,-170,"Komunikacja miejska"
2024-12-14,2024-12-14,-1500,"Zwrot pieniędzy"
2024-12-14,2024-12-16,-690,"Jedzenie i środki czystości"
2024-12-16,2024-12-16,-686,"Pociągi"
2024-12-16,2024-12-16,-557,"Pranie"
2024-12-16,2024-12-16,-400,"Pranie"
2024-12-16,2024-12-16,-400,"Pranie"
2024-12-17,2024-12-17,2000,"Zwrot pieniędzy"
2024-12-17,2024-12-17,-170,"Komunikacja miejska"
2024-12-17,2024-12-19,-2275,"Jedzenie i środki czystości"
2024-12-17,2024-12-19,-2178,"Jedzenie i środki czystości"
2024-12-18,2024-12-18,100000,"Politechnika"
2024-12-18,2024-12-20,-690,"Gotowe jedzenie"
2024-12-20,2024-12-20,-170,"Komunikacja miejska"
2024-12-26,2024-12-26,-3164,"Zwrot pieniędzy"
2024-12-26,2024-12-26,-2597,"Pociągi"
2024-12-30,2024-12-30,400000,"Politechnika"
2024-12-30,2025-01-01,-1080,"Inne"
2025-01-03,2025-01-03,-155000,"Zwrot pieniędzy"
2025-01-06,2025-01-06,-170,"Komunikacja miejska"
2025-01-07,2025-01-07,85000,"Politechnika"
2025-01-07,2025-01-07,-1300,"Zwrot pieniędzy"
2025-01-07,2025-01-07,2317,"Zwrot pieniędzy"
2025-01-07,2025-01-09,-3062,"Jedzenie i środki czystości"
2025-01-07,2025-01-09,-11877,"Jedzenie i środki czystości"
2025-01-09,2025-01-11,-400,"Gotowe jedzenie"
2025-01-10,2025-01-10,-1000,"Zwrot pieniędzy"
2025-01-10,2025-01-12,-2934,"Jedzenie i środki czystości"
2025-01-11,2025-01-13,-5422,"Jedzenie i środki czystości"
2025-01-11,2025-01-13,-3499,"Jedzenie i środki czystości"
2025-01-12,2025-01-12,-557,"Pranie"
2025-01-12,2025-01-12,-400,"Pranie"
2025-01-14,2025-01-14,-220,"Komunikacja miejska"
2025-01-14,2025-01-16,-3550,"Jedzenie i środki czystości"
2025-01-14,2025-01-16,-17800,"Inne"
2025-01-14,2025-01-16,-2219,"Jedzenie i środki czystości"
2025-01-16,2025-01-18,-3500,"Gotowe jedzenie"
2025-01-17,2025-01-19,-3645,"Jedzenie i środki czystości"
2025-01-17,2025-01-19,-5365,"Jedzenie i środki czystości"
2025-01-18,2025-01-20,-3148,"Jedzenie i środki czystości"
2025-01-18,2025-01-20,-1625,"Jedzenie i środki czystości"
2025-01-19,2025-01-19,-557,"Pranie"
2025-01-19,2025-01-19,-400,"Pranie"
2025-01-20,2025-01-22,-880,"Jedzenie i środki czystości"
2025-01-22,2025-01-24,-6197,"Jedzenie i środki czystości"
2025-01-22,2025-01-24,-3898,"Jedzenie i środki czystości"
2025-01-22,2025-01-24,-3840,"Jedzenie i środki czystości"
2025-01-22,2025-01-24,-400,"Gotowe jedzenie"
2025-01-23,2025-01-25,-3000,"Gotowe jedzenie"
2025-01-24,2025-01-24,100000,"Politechnika"
2025-01-24,2025-01-24,-170,"Komunikacja miejska"
2025-01-25,2025-01-27,-6197,"Jedzenie i środki czystości"
2025-01-25,2025-01-27,-6133,"Jedzenie i środki czystości"
2025-01-26,2025-01-26,-557,"Pranie"
2025-01-26,2025-01-26,-400,"Pranie"
2025-01-27,2025-01-29,-2972,"Jedzenie i środki czystości"
2025-01-27,2025-01-29,-3115,"Jedzenie i środki czystości"
2025-01-29,2025-01-31,-830,"Gotowe jedzenie"
2025-01-29,2025-01-31,-400,"Gotowe jedzenie"
2025-01-30,2025-02-01,-5134,"Jedzenie i środki czystości"
2025-01-30,2025-02-01,-7123,"Jedzenie i środki czystości"
2025-02-01,2025-02-03,-920,"Jedzenie i środki czystości"
2025-02-02,2025-02-02,-557,"Pranie"
2025-02-02,2025-02-02,-400,"Pranie"
2025-02-03,2025-02-05,-7192,"Jedzenie i środki czystości"
2025-02-03,2025-02-05,-2550,"Jedzenie i środki czystości"
2025-02-05,2025-02-05,85000,"Politechnika"
2025-02-05,2025-02-05,-655,"Zwrot pieniędzy"
2025-02-06,2025-02-08,-11647,"Inne"
2025-02-06,2025-02-08,-1400,"Jedzenie i środki czystości"
2025-02-08,2025-02-08,-2597,"Pociągi"
2025-02-08,2025-02-10,-2345,"Jedzenie i środki czystości"
2025-02-08,2025-02-10,-1276,"Jedzenie i środki czystości"
2025-02-09,2025-02-09,-170,"Komunikacja miejska"
2025-02-18,2025-02-18,3000,"Zwrot pieniędzy"
2025-02-18,2025-02-18,-1428,"Pociągi"
2025-02-18,2025-02-18,-8500,"Inne"
2025-02-18,2025-02-20,-16680,"Inne"
2025-02-19,2025-02-19,1800,"Zwrot pieniędzy"
2025-02-19,2025-02-19,4569,"Zwrot pieniędzy"
2025-02-19,2025-02-21,-200,"Komunikacja miejska"
2025-02-19,2025-02-21,-200,"Komunikacja miejska"
2025-02-19,2025-02-21,-25000,"Inne"
2025-02-20,2025-02-20,-170,"Komunikacja miejska"
2025-02-20,2025-02-22,-6221,"Jedzenie i środki czystości"
2025-02-20,2025-02-22,-4677,"Jedzenie i środki czystości"
2025-02-21,2025-02-23,-2737,"Jedzenie i środki czystości"
2025-02-21,2025-02-23,-2811,"Jedzenie i środki czystości"
2025-02-22,2025-02-24,-2592,"Jedzenie i środki czystości"
2025-02-23,2025-02-23,-557,"Pranie"
2025-02-23,2025-02-23,-200,"Pranie"
2025-02-24,2025-02-24,-5000,"Zwrot pieniędzy"
2025-02-24,2025-02-26,-4206,"Jedzenie i środki czystości"
2025-02-24,2025-02-26,-3500,"Gotowe jedzenie"
2025-02-25,2025-02-25,-170,"Komunikacja miejska"
2025-02-25,2025-02-27,-3346,"Jedzenie i środki czystości"
2025-02-26,2025-02-28,-3500,"Gotowe jedzenie"
2025-02-27,2025-02-27,-2030,"Zwrot pieniędzy"
2025-02-27,2025-03-01,-649,"Inne"
2025-02-27,2025-03-01,-6123,"Jedzenie i środki czystości"
2025-02-27,2025-03-01,-3060,"Jedzenie i środki czystości"
2025-02-28,2025-02-28,100000,"Politechnika"
2025-02-28,2025-03-02,-2998,"Jedzenie i środki czystości"
2025-03-01,2025-03-01,-557,"Pranie"
2025-03-01,2025-03-01,-400,"Pranie"
2025-03-01,2025-03-03,-3224,"Jedzenie i środki czystości"
2025-03-01,2025-03-03,-3944,"Jedzenie i środki czystości"
2025-03-02,2025-03-02,-170,"Komunikacja miejska"
2025-03-02,2025-03-02,-170,"Komunikacja miejska"
2025-03-02,2025-03-02,-170,"Komunikacja miejska"
2025-03-02,2025-03-02,-170,"Komunikacja miejska"
2025-03-03,2025-03-05,-3500,"Gotowe jedzenie"
2025-03-04,2025-03-04,-170,"Komunikacja miejska"
2025-03-04,2025-03-04,-170,"Komunikacja miejska"
2025-03-04,2025-03-06,-3097,"Jedzenie i środki czystości"
2025-03-05,2025-03-05,85000,"Politechnika"
2025-03-05,2025-03-07,-3500,"Gotowe jedzenie"
2025-03-06,2025-03-08,-2529,"Jedzenie i środki czystości"
2025-03-06,2025-03-08,-5463,"Jedzenie i środki czystości"
2025-03-07,2025-03-07,-1078,"Pociągi"
2025-03-08,2025-03-08,-170,"Komunikacja miejska"
2025-03-08,2025-03-08,-2597,"Pociągi"
2025-03-08,2025-03-10,-200,"Komunikacja miejska"
2025-03-09,2025-03-09,-170,"Komunikacja miejska"
2025-03-10,2025-03-10,-499,"Zwrot pieniędzy"
2025-03-10,2025-03-12,-3500,"Gotowe jedzenie"
2025-03-11,2025-03-13,-2204,"Jedzenie i środki czystości"
2025-03-11,2025-03-13,-5236,"Jedzenie i środki czystości"
2025-03-12,2025-03-14,-3500,"Gotowe jedzenie"
2025-03-13,2025-03-15,-4385,"Jedzenie i środki czystości"
2025-03-13,2025-03-15,-6262,"Jedzenie i środki czystości"
2025-03-16,2025-03-16,-557,"Pranie"
2025-03-16,2025-03-16,-400,"Pranie"
2025-03-17,2025-03-19,-3000,"Gotowe jedzenie"
2025-03-17,2025-03-19,-3394,"Jedzenie i środki czystości"
2025-03-17,2025-03-19,-1648,"Jedzenie i środki czystości"
2025-03-18,2025-03-18,-170,"Komunikacja miejska"
2025-03-18,2025-03-20,-930,"Jedzenie i środki czystości"
2025-03-19,2025-03-19,-26095,"Zwrot pieniędzy"
2025-03-19,2025-03-21,-3500,"Gotowe jedzenie"
2025-03-19,2025-03-21,-2308,"Jedzenie i środki czystości"
2025-03-20,2025-03-22,-3123,"Jedzenie i środki czystości"
2025-03-20,2025-03-22,-1988,"Jedzenie i środki czystości"
2025-03-20,2025-03-22,-6425,"Jedzenie i środki czystości"
2025-03-22,2025-03-24,-1872,"Jedzenie i środki czystości"
2025-03-23,2025-03-23,-557,"Pranie"
2025-03-23,2025-03-23,-400,"Pranie"
2025-03-24,2025-03-26,-3000,"Gotowe jedzenie"
2025-03-24,2025-03-26,-2026,"Jedzenie i środki czystości"
2025-03-25,2025-03-27,-3558,"Jedzenie i środki czystości"
2025-03-25,2025-03-27,-6739,"Jedzenie i środki czystości"
2025-03-25,2025-03-27,-400,"Gotowe jedzenie"
2025-03-26,2025-03-28,-3500,"Gotowe jedzenie"
2025-03-27,2025-03-27,100000,"Politechnika"
2025-03-27,2025-03-29,-2915,"Jedzenie i środki czystości"
2025-03-27,2025-03-29,-5568,"Jedzenie i środki czystości"
2025-03-28,2025-03-30,-888,"Jedzenie i środki czystości"
2025-03-29,2025-03-31,-2234,"Jedzenie i środki czystości"
2025-03-29,2025-03-31,-3029,"Jedzenie i środki czystości"
2025-03-30,2025-03-30,-557,"Pranie"
2025-03-30,2025-03-30,-400,"Pranie"
2025-03-31,2025-04-02,-3500,"Gotowe jedzenie"
2025-04-01,2025-04-03,-1757,"Jedzenie i środki czystości"
2025-04-01,2025-04-03,-2306,"Jedzenie i środki czystości"
2025-04-02,2025-04-04,-3500,"Gotowe jedzenie"
2025-04-03,2025-04-05,-5328,"Jedzenie i środki czystości"
2025-04-03,2025-04-05,-2416,"Jedzenie i środki czystości"
2025-04-04,2025-04-04,85000,"Politechnika"
2025-04-04,2025-04-04,-170,"Komunikacja miejska"
2025-04-04,2025-04-04,-170,"Komunikacja miejska"
2025-04-05,2025-04-05,1839,"Zwrot pieniędzy"
2025-04-05,2025-04-07,-1763,"Jedzenie i środki czystości"
2025-04-05,2025-04-07,-5494,"Jedzenie i środki czystości"
2025-04-06,2025-04-06,-170,"Komunikacja miejska"
2025-04-06,2025-04-06,-170,"Komunikacja miejska"
2025-04-06,2025-04-06,-557,"Pranie"
2025-04-06,2025-04-06,-400,"Pranie"
2025-04-07,2025-04-09,-3500,"Gotowe jedzenie"
2025-04-07,2025-04-09,-400,"Gotowe jedzenie"
2025-04-08,2025-04-10,-2636,"Jedzenie i środki czystości"
2025-04-09,2025-04-11,-3500,"Gotowe jedzenie"
2025-04-09,2025-04-11,-250,"Gotowe jedzenie"
2025-04-10,2025-04-12,-2678,"Jedzenie i środki czystości"
2025-04-10,2025-04-12,-5750,"Jedzenie i środki czystości"
2025-04-11,2025-04-11,-985,"Zwrot pieniędzy"
2025-04-12,2025-04-14,-1999,"Odzież i obuwie"
2025-04-12,2025-04-14,-3931,"Jedzenie i środki czystości"
2025-04-12,2025-04-14,-2168,"Jedzenie i środki czystości"
2025-04-13,2025-04-13,-557,"Pranie"
2025-04-13,2025-04-13,-400,"Pranie"
2025-04-14,2025-04-16,-2772,"Jedzenie i środki czystości"
2025-04-14,2025-04-16,-3500,"Gotowe jedzenie"
2025-04-15,2025-04-15,-2597,"Pociągi"
2025-04-15,2025-04-17,-250,"Gotowe jedzenie"
2025-04-16,2025-04-18,-3000,"Gotowe jedzenie"
2025-04-16,2025-04-19,-350,"Gotowe jedzenie"
